# started 2026-08-15T18:43:38Z on ip-172-31-9-237
# time load procs threads fd_used fd_max conntrack ct_max mem_avail_mb tcp_estab tcp_tw sshd
2026-08-15T19:02:45Z 2.91 201 343 1684 9223372036854775807 514 1048576 14609 61 60 1
2026-08-15T19:02:50Z 2.84 204 350 1895 9223372036854775807 246 1048576 14597 261 15 1
2026-08-15T19:02:55Z 2.77 204 350 1894 9223372036854775807 249 1048576 14596 261 14 1
2026-08-15T19:03:00Z 2.55 181 319 1408 9223372036854775807 256 1048576 14717 2 57 3
2026-08-15T19:03:05Z 2.59 184 326 1798 9223372036854775807 357 1048576 14709 202 58 3
2026-08-15T19:03:11Z 2.62 183 325 1804 9223372036854775807 358 1048576 14712 202 55 3
2026-08-15T19:03:16Z 2.41 180 318 1410 9223372036854775807 360 1048576 14715 2 57 3
2026-08-15T19:03:21Z 2.22 183 325 1622 9223372036854775807 461 1048576 14703 202 58 3
2026-08-15T19:03:26Z 2.28 183 325 1620 9223372036854775807 462 1048576 14700 202 56 3
2026-08-15T19:03:31Z 2.26 180 328 1392 9223372036854775807 464 1048576 14721 2 59 3
2026-08-15T19:03:36Z 2.08 183 342 1604 9223372036854775807 565 1048576 14700 202 60 3
2026-08-15T19:03:41Z 2.87 183 344 1604 9223372036854775807 566 1048576 14685 202 54 3
2026-08-15T19:03:46Z 3.68 178 316 1374 9223372036854775807 566 1048576 14700 2 59 3
2026-08-15T19:03:51Z 3.55 202 344 1713 9223372036854775807 228 1048576 14592 62 58 3
2026-08-15T19:03:56Z 3.26 205 351 1925 9223372036854775807 333 1048576 14589 262 59 3
2026-08-15T19:04:01Z 3.40 205 351 1925 9223372036854775807 334 1048576 14592 262 16 3
2026-08-15T19:04:06Z 3.29 178 316 1374 9223372036854775807 334 1048576 14716 2 58 3
2026-08-15T19:04:11Z 3.03 183 325 1760 9223372036854775807 437 1048576 14710 202 59 3
2026-08-15T19:04:16Z 3.02 183 325 1753 9223372036854775807 438 1048576 14705 202 57 3
2026-08-15T19:04:21Z 2.94 178 317 1369 9223372036854775807 438 1048576 14734 2 59 3
2026-08-15T19:04:26Z 2.71 180 319 1406 9223372036854775807 440 1048576 14723 2 59 3
2026-08-15T19:04:31Z 2.65 183 326 1618 9223372036854775807 542 1048576 14705 202 60 3
2026-08-15T19:04:36Z 2.60 183 325 1618 9223372036854775807 542 1048576 14705 202 55 3
2026-08-15T19:04:41Z 2.39 180 328 1388 9223372036854775807 544 1048576 14730 2 58 3
2026-08-15T19:04:46Z 2.20 183 344 1600 9223372036854775807 644 1048576 14692 202 59 3
2026-08-15T19:04:51Z 2.90 182 344 1600 9223372036854775807 644 1048576 14681 202 54 3
2026-08-15T19:04:56Z 3.63 201 343 1711 9223372036854775807 264 1048576 14587 62 54 3
2026-08-15T19:05:01Z 3.34 201 343 1730 9223372036854775807 272 1048576 14581 62 54 3
2026-08-15T19:05:06Z 3.07 203 349 1896 9223372036854775807 373 1048576 14580 261 55 1
2026-08-15T19:05:11Z 2.99 203 349 1896 9223372036854775807 373 1048576 14592 261 12 1
2026-08-15T19:05:17Z 3.15 178 316 1381 9223372036854775807 376 1048576 14720 1 56 1
2026-08-15T19:05:22Z 2.90 181 323 1731 9223372036854775807 478 1048576 14711 201 54 1
2026-08-15T19:05:27Z 2.98 181 323 1731 9223372036854775807 478 1048576 14711 201 54 1
2026-08-15T19:05:32Z 2.91 178 316 1383 9223372036854775807 480 1048576 14725 1 55 1
2026-08-15T19:05:37Z 2.67 181 323 1595 9223372036854775807 581 1048576 14716 201 56 1
2026-08-15T19:05:42Z 2.78 181 323 1595 9223372036854775807 581 1048576 14714 201 53 1
2026-08-15T19:05:47Z 2.80 176 314 1347 9223372036854775807 581 1048576 14732 1 55 1
2026-08-15T19:05:52Z 2.57 199 353 1630 9223372036854775807 668 1048576 14717 82 91 3
2026-08-15T19:05:57Z 3.89 199 358 1585 9223372036854775807 301 1048576 14702 81 90 1
2026-08-15T19:06:02Z 5.38 178 317 1348 9223372036854775807 303 1048576 14725 1 126 1
2026-08-15T19:06:07Z 4.95 202 345 1688 9223372036854775807 347 1048576 14644 61 125 1
2026-08-15T19:06:12Z 4.55 203 347 1722 9223372036854775807 347 1048576 14640 61 126 1
2026-08-15T19:06:17Z 4.50 205 352 1760 9223372036854775807 365 1048576 14630 93 82 1
2026-08-15T19:06:22Z 4.54 202 345 1727 9223372036854775807 365 1048576 14627 61 85 1
2026-08-15T19:06:27Z 4.18 179 318 1379 9223372036854775807 369 1048576 14729 1 124 1
2026-08-15T19:06:32Z 4.09 198 341 1631 9223372036854775807 413 1048576 14708 81 119 1
2026-08-15T19:06:37Z 4.08 198 341 1631 9223372036854775807 413 1048576 14700 81 119 1
2026-08-15T19:06:42Z 3.83 181 320 1425 9223372036854775807 420 1048576 14697 2 154 3
2026-08-15T19:06:47Z 3.68 204 348 1643 9223372036854775807 477 1048576 14687 82 156 3
2026-08-15T19:06:52Z 3.71 199 342 1599 9223372036854775807 480 1048576 14695 81 154 1
2026-08-15T19:06:57Z 3.49 180 329 1363 9223372036854775807 287 1048576 14739 1 155 1
2026-08-15T19:07:02Z 4.90 199 358 1583 9223372036854775807 368 1048576 14706 81 188 1
2026-08-15T19:07:07Z 5.79 199 359 1583 9223372036854775807 372 1048576 14702 81 155 1
2026-08-15T19:07:13Z 5.40 178 317 1345 9223372036854775807 374 1048576 14723 1 195 1
2026-08-15T19:07:18Z 4.97 202 345 1686 9223372036854775807 413 1048576 14636 61 193 1
2026-08-15T19:07:23Z 4.73 205 352 1760 9223372036854775807 430 1048576 14629 93 194 1
2026-08-15T19:07:28Z 4.51 205 352 1760 9223372036854775807 431 1048576 14627 93 151 1
2026-08-15T19:07:33Z 4.15 178 317 1345 9223372036854775807 431 1048576 14726 1 193 1
